identificador,tipo,entidade,ano,quantidade_registros,quantidade_duplicados
chikungunya_2025,fato,chikungunya,2025.0,1942,0
chikungunya_2024,fato,chikungunya,2024.0,2481,0
chikungunya_2023,fato,chikungunya,2023.0,1555,0
chikungunya_2022,fato,chikungunya,2022.0,2110,0
chikungunya_2021,fato,chikungunya,2021.0,17664,0
chikungunya_2020,fato,chikungunya,2020.0,2803,0
chikungunya_2019,fato,chikungunya,2019.0,1441,0
chikungunya_2018,fato,chikungunya,2018.0,639,0
chikungunya_2017,fato,chikungunya,2017.0,1037,0
chikungunya_2016,fato,chikungunya,2016.0,11248,0
chikungunya_2015,fato,chikungunya,2015.0,1804,0
zika_2025,fato,zika,2025.0,821,0
zika_2024,fato,zika,2024.0,475,0
zika_2023,fato,zika,2023.0,226,0
zika_2022,fato,zika,2022.0,216,0
zika_2021,fato,zika,2021.0,17664,0
zika_2020,fato,zika,2020.0,249,0
zika_2019,fato,zika,2019.0,211,0
zika_2018,fato,zika,2018.0,117,0
zika_2017,fato,zika,2017.0,134,0
zika_2016,fato,zika,2016.0,4284,0
zika_2015,fato,zika,2015.0,447,0
dengue_2025,fato,dengue,2025.0,9187,0
dengue_2024,fato,dengue,2024.0,10548,0
dengue_2023,fato,dengue,2023.0,3523,0
dengue_2022,fato,dengue,2022.0,2906,8
dengue_2021,fato,dengue,2021.0,10898,0
dengue_2020,fato,dengue,2020.0,3540,0
dengue_2019,fato,dengue,2019.0,7308,0
dengue_2018,fato,dengue,2018.0,2687,0
dengue_2017,fato,dengue,2017.0,2454,0
dengue_2016,fato,dengue,2016.0,18612,0
dengue_2015,fato,dengue,2015.0,34556,0
dengue_2014,fato,dengue,2014.0,1192,0
dengue_2013,fato,dengue,2013.0,3229,0
bairro,dimensao,bairro,,95,0
distrito,dimensao,distrito,,6,0
agravo,dimensao,agravo,,7,1
municipio,dimensao,municipio,,186,0
uf,dimensao,uf,,27,0
