codigo_bairro,inicio_indice,inicio_ano,semanas_consecutivas_topk_antes
108,571,2023,0
108,581,2024,0
108,591,2024,0
108,597,2024,0
108,603,2024,0
108,657,2025,0
108,667,2025,0
108,670,2025,0
108,675,2025,0
116,555,2023,0
116,576,2024,0
116,581,2024,0
116,587,2024,0
116,597,2024,0
116,602,2024,0
116,607,2024,0
116,613,2024,0
116,620,2024,0
116,624,2024,0
116,649,2025,0
116,653,2025,0
116,655,2025,0
116,660,2025,0
116,664,2025,0
116,675,2025,0
124,561,2023,0
124,563,2023,1
124,584,2024,0
124,588,2024,1
124,591,2024,0
124,595,2024,1
124,602,2024,0
124,609,2024,0
124,617,2024,0
124,649,2025,0
124,661,2025,0
124,667,2025,0
124,672,2025,0
132,549,2023,0
132,571,2023,0
132,597,2024,0
132,601,2024,0
132,621,2024,0
132,664,2025,0
140,560,2023,0
140,563,2023,0
140,575,2024,0
140,583,2024,0
140,588,2024,0
140,597,2024,0
140,609,2024,0
140,611,2024,0
140,613,2024,0
140,622,2024,0
140,644,2025,0
140,667,2025,0
140,672,2025,0
159,585,2024,0
159,598,2024,0
159,620,2024,0
159,637,2025,0
159,648,2025,0
159,652,2025,0
159,657,2025,0
159,661,2025,0
159,664,2025,0
159,671,2025,0
167,549,2023,0
167,554,2023,0
167,574,2024,0
167,579,2024,0
167,585,2024,0
167,594,2024,0
167,600,2024,0
167,608,2024,0
167,618,2024,0
167,625,2024,0
167,629,2025,0
167,659,2025,0
167,661,2025,0
167,668,2025,0
175,588,2024,0
175,607,2024,0
175,624,2024,0
175,657,2025,0
175,665,2025,0
175,675,2025,0
183,591,2024,0
183,594,2024,0
183,620,2024,0
183,623,2024,0
183,662,2025,0
183,664,2025,0
183,668,2025,0
183,671,2025,0
183,675,2025,1
19,561,2023,0
19,589,2024,0
19,608,2024,0
19,612,2024,0
19,657,2025,0
19,663,2025,0
19,672,2025,0
191,588,2024,0
191,631,2025,0
191,662,2025,0
191,664,2025,0
191,671,2025,0
205,573,2023,0
205,575,2024,1
205,581,2024,0
205,584,2024,0
205,588,2024,0
205,598,2024,0
205,612,2024,0
205,618,2024,0
205,625,2024,0
205,628,2025,0
205,655,2025,0
205,663,2025,0
205,674,2025,0
205,676,2025,0
213,573,2023,0
213,588,2024,0
213,613,2024,0
213,625,2024,0
213,665,2025,0
213,674,2025,0
221,563,2023,0
221,582,2024,0
221,584,2024,0
221,590,2024,0
221,594,2024,0
221,661,2025,0
221,665,2025,2
221,674,2025,0
221,676,2025,0
230,583,2024,0
230,594,2024,0
230,665,2025,0
230,667,2025,0
230,673,2025,0
230,676,2025,0
248,580,2024,0
248,584,2024,0
248,588,2024,0
248,628,2025,0
248,642,2025,0
248,648,2025,4
248,653,2025,4
248,659,2025,1
248,664,2025,0
248,667,2025,0
248,674,2025,0
256,571,2023,0
256,579,2024,0
256,581,2024,0
256,599,2024,0
256,617,2024,0
256,619,2024,0
256,627,2025,0
256,639,2025,0
256,644,2025,0
256,652,2025,0
256,656,2025,0
256,660,2025,2
256,666,2025,2
256,673,2025,0
264,582,2024,0
264,584,2024,0
264,599,2024,0
264,605,2024,0
264,654,2025,0
264,661,2025,0
